"類型","","遊憩據點","","107年1月","107年2月","107年3月","107年4月","107年5月","107年6月","107年7月","107年8月","107年9月","107年10月","107年11月","107年12月","108年1月","108年2月","108年3月","108年4月","108年5月","108年6月","108年7月","108年8月","108年9月","108年10月","108年11月","108年12月","109年1月","109年2月","109年3月","109年4月","109年5月","109年6月","109年7月","109年8月","109年9月","109年10月","109年11月","109年12月","110年1月","110年2月","110年3月","110年4月","110年5月","110年6月","110年7月","110年8月","110年9月","110年10月","110年11月","110年12月","111年1月","111年2月","111年3月","111年4月","111年5月","111年6月","111年7月","111年8月","111年9月","111年10月","111年11月","111年12月","小計"
"國家公園","National Parks","太魯閣國家公園遊客中心","Taroko National Park Visitor Center","66469","45114","49641","74514","66291","69121","85304","96049","61888","69611","75196","82510","59884","60050","71186","72956","84561","85380","100387","88777","53252","68274","66831","55304","50485","46152","22399","18954","28692","44438","69265","70246","46222","52790","51567","28214","30895","28888","21148","29099","9855","0","4443","19052","19058","23810","28310","22855","21401","18009","29027","14738","7890","20215","47712","43872","24105","29601","21882","27503","2781342"
"國家公園","National Parks","布洛灣遊憩區","Pulowan Recreation Area","17709","8341","13140","16475","16315","22856","23519","28010","13976","21978","20223","20204","19830","18613","16557","14008","15667","20385","18991","13998","13677","20581","19074","14624","15951","11153","9817","7122","7812","10316","17740","27531","34097","40412","37033","28741","37478","38790","39779","39584","17430","254","5167","10557","13227","20859","36381","43746","31511","44538","15835","33710","16315","32599","53855","56387","67020","57329","57611","70739","1517177"
"國家公園","National Parks","臺八線沿線景觀區","Provincial Highway 8 Scenic Area","193605","132130","129927","211046","221065","262122","394427","408119","248751","297595","289202","316288","254761","393364","273656","286547","254628","305073","425932","312656","284380","382088","307581","275094","292375","318014","183311","176449","193196","301021","388840","383170","260313","279451","239928","185834","184221","260498","176826","259986","162439","22824","68445","119819","164020","153988","172949","159416","87037","172853","129785","190716","104143","153018","265660","269218","158625","121090","149661","157056","13926232"
"國家公園","National Parks","汶水遊客中心","Wenshui Visitor Center","43391","42462","52124","59436","59527","49527","58791","45285","51002","54135","46818","62591","41630","52851","64057","64401","70397","66579","57471","48540","60223","63614","62585","51766","50060","34119","28503","19101","23827","33066","53787","54054","48545","68680","58698","48419","52022","38030","38820","47764","23138","494","2713","7376","9341","21492","43330","44906","26569","24848","31568","27412","13022","13385","27222","31314","26244","31161","25805","31639","2489677"
"國家公園","National Parks","觀霧遊客中心","Guanwu Visitor Center","7922","8584","9767","12425","8392","9385","15272","15340","6045","9571","6846","9326","6609","9003","9913","10036","6713","10120","14214","12371","7838","11422","8014","7872","9837","5414","6333","3076","3931","10369","15185","13011","7987","14006","10060","8962","9824","11543","17105","10107","3741","0","880","5769","10071","9223","9112","8551","7876","11256","21038","8684","4426","7132","12024","12030","7462","8658","8465","8030","554178"
"國家公園","National Parks","雪見遊憩區","Xuejian Recreation Area","7130","10013","5305","8839","8011","10309","14833","16085","8944","16139","12203","11060","4581","11646","8526","7381","4895","8736","11881","9796","14292","15707","14056","8499","7984","8219","9200","7969","7923","12826","17422","17780","10035","17911","14685","9193","9703","9910","8451","10191","4939","0","2195","4003","7370","10548","10347","8426","6152","7462","5943","7482","2851","6284","13670","11426","8285","11445","8201","7127","572425"
"國家公園","National Parks","武陵遊客中心","Wuling Visitor Center","8193","32714","17022","13069","6592","10459","17682","29461","9010","8454","12310","13419","11621","42651","20308","8462","4460","8350","16692","10251","8669","12231","14755","13008","13011","45724","11269","5860","5534","11305","21012","19722","10455","17134","16883","16641","13073","39125","18464","9471","3757","0","2241","6642","3772","10639","16117","18110","12751","25981","14365","8268","2727","7148","16038","13235","6660","8455","15449","14161","831042"
"國家公園","National Parks","中山林遊客中心","Jhongshanlin Visitor Center","10576","10594","13122","12930","13441","12129","14024","13812","12075","11674","10530","11810","10849","9406","11836","13041","15212","13868","14052","12484","10829","13109","13420","13004","8988","3397","1605","909","1102","4391","7498","7778","5452","5909","4070","2705","2313","2049","2247","2869","1624","0","38","400","858","1586","2572","2216","1795","3043","2929","3254","2369","3543","7601","7250","5938","7431","6765","6175","428496"
"國家公園","National Parks","翟山坑道","Jhaishan Tunnel","25779","26746","37485","50047","50867","48280","55786","59556","40764","53449","43304","48084","30546","32868","43605","46609","58770","53041","56656","45779","30788","46869","44988","33311","16779","5030","3351","1836","6157","21402","45364","57693","49175","51366","29918","22059","19949","15142","25192","31365","19215","0","127","2000","5106","13026","19619","21644","15840","13753","16435","24331","14649","19683","33548","43725","32928","35206","29882","22843","1849315"
"國家公園","National Parks","雙鯉溼地自然中心","Shuangli Welands Nature Center","6193","6974","9812","13403","15588","14748","16469","14501","11500","15546","10585","10113","7381","7668","11105","12623","18878","17330","15717","11487","13449","12040","0","0","5640","1988","1097","829","2129","6658","14440","16646","13318","13872","8045","4255","3233","2538","3407","5227","3388","0","8","389","689","1859","3109","2816","1773","1863","1859","1968","1504","1963","3555","3750","3358","4291","3365","2526","420465"
